material_id,formula,epsilon(k),youngs_modulus_E(GPa),data_source,energy_per_atom (eV/atom),fluorine_weighted,APF,log_density (g/cm³),epsilon_ratio_squared,Covalent bond ratio (estimated),Electronegativity difference,ionicity_index,specific_G,r_max,electron_density_proxy,density (g/cm³),band_gap (eV),Average electronegativity_x_Average atomic radius(Å),specific_K,porosity_total,epsilon_var,penn_proxy,Average coordination number(CN),brittleness_index,bulk_modulus_K_VRH (GPa),polarizability_proxy,bond_gap_product,effective_density,porosity_acc,electron_ion,density (g/cm³)_x_band_gap (eV),Average bond length(Å),epsilon_ratio_x_APF,density (g/cm³)_squared,log_band_gap (eV),ionic_polarizability_proxy,epsilon_ratio, F element atomic fraction,epsilon_delta,Average electronegativity,covalent_coordination_proxy,shear_modulus_G_VRH (GPa),band_gap (eV)_squared,Average atomic radius(Å)
mp-570778,Cl2,1.5167359899999997,7.434210300445557,1,-6.079445613125,0.0,0.2202386919392842,-0.07565597174763478,1.3725985981984279,1.0,0.0,0.0,2.3721142896449856,6.124457913170317,0.8337591930657708,0.917135112372348,2.6476,3.16,1.6554982789292056,0.8020966368667518,0.0134657243963206,0.12899616716050638,1.0,0.8989872254445531,1.6838654279708862,0.3067484662576687,5.2528384,0.18150412318607717,0.4038154533844189,8.366416000000001,2.428206923517029,1.984,0.2580271434798576,0.8411368143462394,0.9774234598768934,0.0,1.1715795313159187,0.0,0.2461620599999989,3.16,1.0,2.412760734558105,7.009785760000001,1.0
mp-632291,H2,1.531089026666666,9.128667831420898,1,-3.4521616,0.0,1.0,-1.8833190103331574,1.2820043656665205,1.0,0.0,0.0,23.61377322024063,1.9095996692616968,1.2288388942130768,0.142084497143387,8.8499,0.55,25.934155087342656,0.0,0.0083589002035556,0.001811823189165273,1.0,0.7854254802484156,6.278256893157959,0.10869565217391303,6.5666258,0.142084497143387,0.0,19.46978,1.2574335912692607,0.742,1.132256316240506,0.020188004328489148,2.181535477871579,0.0,1.132256316240506,0.0,0.1939460000000012,2.2,1.0,5.716528415679932,78.32073000999999,0.25
mp-850274,H2,1.5523945266666666,0.2005714285714285,0,-3.453358045,0.0,0.8181956329672622,-2.236164574070872,1.319683865607771,1.0,0.0,0.0,0.3657280285097153,2.833949356466351,0.8377738561544648,0.09686760211786,8.5338,0.55,1.584821456875433,0.0,0.0107599569835335,0.0013283046408140212,1.0,0.0548780487804878,0.312,0.10869565217391303,6.332079599999999,0.09686760211786,0.0,18.77436,0.8266487429533936,0.742,0.9399226401800924,0.009383332340064034,2.1452058737041613,0.0,1.1487749412342572,0.0,0.2200450100000019,2.2,1.0,0.072,72.82574243999998,0.25
mp-154,N2,1.529605289999999,24.30424690246582,1,-9.12875067125,0.0,0.5751490748252575,-0.04474256641172102,1.0,1.0,0.0,0.0,8.911708548673221,2.244254780765733,2.525842160496256,0.94624361937591,7.340999999999999,1.9760000000000002,4.433296833726189,0.6747339262283132,0.0,0.017526184377071683,1.0,1.6536551991265511,4.638308525085449,0.2070063694267516,8.119146,0.3077809469059127,0.0551100743548622,22.31664,6.946374409838555,1.106,0.5751490748252575,0.895376987209622,1.9948363583919504,0.0,1.0,0.0,0.0,3.04,1.0,9.32381820678711,53.89028099999999,0.65
mp-561513,S,3.3807530166666684,2.9904801845550537,1,-8.015491559285715,0.0,0.495685929565924,0.6296294761887012,1.9155044927419296,1.0,0.0,0.0,1.9212316823555415,2.7390250892428583,1.697195462460967,1.866915008707064,2.4646,2.58,1.998918648372203,0.6636432350718064,0.2080172906293412,0.3023709848507515,2.0,0.7662463375744293,3.9317030906677246,0.3731343283582089,5.0573592,0.6279494927245983,0.1179825465539751,6.358668,4.60119873045943,2.052,0.6860380104129267,3.485371649735697,0.9060787667977382,0.0,1.3840175189432862,0.0,1.054949715732484,2.58,2.0,3.7788994312286377,6.07425316,1.0
mp-1014013,P,2.66147281,4.184114895402892,0,-8.948089115,0.0,0.1066567517678997,-0.9212195553456682,12.947691854669563,1.0,0.0,0.0,3.4061881858989995,27.482477835253952,0.35275756481717363,0.388033321298891,0.8832000000000001,2.19,5.916945709733915,0.9375862068965516,1.4837732584821417,0.44092579158347095,1.0,0.42759152876618356,2.8876666666666666,0.4366812227074236,1.9801344000000003,0.024218631432792907,0.8322988505747126,1.9342080000000001,0.3427110293711806,2.242,0.38378193711040076,0.15056985843824838,-0.11294475901613413,0.0,3.598290129307191,0.0,2.9827435300000005,2.19,1.0,1.662333333333333,0.7800422400000002,1.0
mp-558014,S,3.046604016666665,4.507623672485352,1,-8.023738200416666,0.0,0.5103643368367123,0.658658567822219,1.9305010211638842,1.0,0.0,0.0,1.1551524452751325,2.9231746179543947,1.7474533470007845,1.9221986817008632,2.1763,2.58,0.07340171476764153,0.6375,0.1774353918285184,0.3974538302174172,2.0,2.03403076661816,0.1484328508377075,0.3731343283582089,4.4679439,0.696797022116563,0.077891156462585,5.614854,4.183280990985589,2.053,0.7091128200434876,3.6948477719325363,0.7822106173007047,0.0,1.389424708706407,0.0,0.95669872,2.58,2.0,2.3359477519989014,4.736281689999999,1.0
mp-22848,Cl2,2.631687926666667,1.1461154222488403,1,-6.1524388975,0.0,0.501046321088138,0.7402674321364765,3.2267534859401823,1.0,0.0,0.0,0.04573527528103091,3.798935087379827,1.8968146454220034,2.086496109964204,2.5434,3.16,0.04573527528103091,0.7802197802197802,0.3955098000562074,0.31763329200559065,1.0,0.09090909214059183,0.1000000014901161,0.3067484662576687,5.079169800000001,0.45857057361850634,0.3141025641025641,8.037144000000001,5.306794206082956,1.997,0.9000378460453873,4.353466016895755,0.9374258044041134,0.0,1.796316644119344,0.0,1.529308296361836,3.16,1.0,0.1000000014901161,6.468883560000001,1.0
mp-77,S,2.832110226666668,4.247924327850342,1,-8.0340372271875,0.0,0.5096795443831201,0.657322848662439,1.689727689394187,1.0,0.0,0.0,0.26889058005192745,4.359566343024313,1.7451086634508965,1.9196195297959864,2.5807,2.58,0.049514277325401826,0.6168125352907962,0.1028278727099913,0.28396686139791233,2.0,0.4936878782867195,0.1000000014901161,0.3731343283582089,5.2904349999999996,0.735574140828798,0.0457368718238283,6.658206000000001,4.953962120544502,2.05,0.6625300243377389,3.6849391391741637,0.9519281094652865,0.0,1.299895260932275,0.0,0.7549192966195069,2.58,2.0,0.5430566668510437,6.6600124900000015,1.0
mp-1383199,TiF4,2.447994693333334,36.89143371582031,1,-6.721473465,2.2079999999999997,0.985277371996559,1.056703906774256,1.3666609707728667,0.0,2.44,5.9536,6.32309493607015,2.381116720902317,2.9945140653252773,2.866872903290787,4.3454,2.622,10.707797700139695,0.0,0.0266312492764272,0.15102714226784156,2.4,0.5724924525135675,31.768674850463867,0.3321678321678322,8.3996582,2.866872903290787,0.0,11.993303999999998,12.457709513959784,1.933,1.1518313766659491,8.218960243622945,1.4714164545367128,2.318,1.1690427583167635,0.8,0.3753836631588076,2.76,0.0,18.75981903076172,18.882501159999997,0.95
